20 graphs in wdGraphs.txt.

** G1: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      (402, 124, 53.453)
      (402, 128, 98.716)
      (402, 158,  0.503)
      (402, 162, 39.505)
      (402, 169, 14.621)
      (402, 428, 46.338)
      (403, 67, 14.052)
      (403, 141, 21.940)
      (403, 148, 15.259)
      (403, 230, 31.027)
      (403, 274, 84.075)
      (403, 285, 36.035)
      (403, 324, 91.049)
      (403, 331, 68.458)
      (403, 417, 49.089)
      (404,  8, 89.539)
      (404, 125, 87.012)
      (404, 177, 49.459)
      (404, 256, 46.628)
      (404, 278, 47.144)
      (404, 344, 16.912)
      (404, 381, 23.803)
      (405,  0, 73.683)
      (405,  8, 15.998)
      (405, 41,  9.957)
      (405, 66, 44.682)
      (405, 140, 68.036)
      (405, 161, 84.481)
      (405, 165, 89.216)
      (405, 175, 69.797)
      (405, 209,  2.245)
      (405, 221, 36.530)
      (405, 359, 34.087)
      (405, 376, 76.384)
      (405, 378, 65.238)
      (406, 34, 71.664)
      (406, 87, 48.321)
      (406, 134, 93.719)
      (406, 161, 50.006)
      (406, 173, 58.700)
      (406, 242, 82.535)
      (406, 244, 53.895)
      (406, 337, 37.108)
      (406, 353, 62.991)
      (406, 372, 73.102)
      (406, 383, 59.163)
      (406, 429, 41.193)
      (406, 441, 19.765)
      (406, 451, 95.292)
      (407,  2, 38.377)
      (407, 33,  9.132)
      (407, 134, 15.167)
      (407, 144, 83.185)
      (407, 152, 47.419)
      (407, 154, 84.673)
      (407, 310, 62.942)
      (407, 404, 88.252)
      (407, 435, 51.411)
      (408, 17, 92.251)
      (408, 28, 87.009)
      (408, 68, 96.262)
      (408, 101, 87.520)
      (408, 241, 49.781)
      (408, 355, 73.768)
      (408, 365, 70.935)
      (408, 405,  0.363)
      (408, 413,  9.618)
      (409, 24,  1.795)
      (409, 75, 95.382)
      (409, 154, 67.245)
      (409, 155, 51.147)
      (409, 250,  6.458)
      (409, 306, 18.556)
      (409, 317, 18.103)
      (409, 323, 81.796)
      (409, 358, 50.121)
      (409, 384, 37.383)
      (409, 393, 88.680)
      (409, 399, 14.138)
      (409, 440, 26.186)
      (409, 442, 73.394)
      (410, 45, 13.677)
      (410, 111, 73.001)
      (410, 116, 97.301)
      (410, 182, 74.162)
      (410, 280, 82.412)
      (410, 293, 34.315)
      (410, 383, 20.662)
      (410, 444, 82.230)
      (411, 79, 89.602)
      (411, 104, 35.942)
      (411, 114, 41.957)
      (411, 162, 33.350)
      (411, 189, 56.263)
      (411, 193, 31.919)
      (411, 228,  7.191)
      (411, 330, 76.248)
      (411, 331, 63.968)
      (411, 396, 32.205)
      (411, 438,  1.983)
      (412, 71, 90.980)
      (412, 91,  9.583)
      (412, 96, 80.945)
      (412, 108, 27.187)
      (412, 315, 13.520)
      (412, 348, 21.447)
      (412, 369, 64.998)
      (412, 398, 84.824)
      (412, 430, 17.483)
      (413, 44, 53.819)
      (413, 51,  1.111)
      (413, 128, 58.336)
      (413, 163, 58.389)
      (413, 174, 65.091)
      (413, 182, 25.980)
      (413, 218, 76.725)
      (413, 231, 22.467)
      (413, 242, 37.126)
      (413, 252, 55.635)
      (413, 286, 21.427)
      (413, 372, 96.366)
      (413, 392, 55.292)
      (413, 420, 87.509)
      (413, 429, 48.543)
      (414, 86, 16.895)
      (414, 119, 70.130)
      (414, 192, 57.344)
      (414, 219, 28.689)
      (414, 324, 68.234)
      (414, 374, 35.349)
      (414, 398, 91.956)
      (415, 22, 93.866)
      (415, 39, 94.814)
      (415, 75, 55.204)
      (415, 129,  0.832)
      (415, 147, 71.694)
      (415, 187, 36.332)
      (415, 188, 25.331)
      (415, 246, 89.395)
      (415, 258,  1.918)
      (415, 278, 30.810)
      (415, 304, 47.378)
      (415, 396, 28.656)
      (415, 402, 59.721)
      (415, 435, 81.581)
      (415, 437, 91.912)
      (415, 443, 56.394)
      (416,  8, 65.887)
      (416, 22,  5.043)
      (416, 55, 23.357)
      (416, 100, 68.002)
      (416, 166, 61.798)
      (416, 169, 77.158)
      (416, 186, 95.668)
      (416, 191,  9.521)
      (416, 228, 71.864)
      (416, 261, 46.059)
      (416, 280, 24.737)
      (416, 354, 15.632)
      (416, 426, 72.435)
      (416, 451, 56.517)
      (417, 64, 43.757)
      (417, 96, 30.408)
      (417, 173, 84.739)
      (417, 194, 76.355)
      (417, 256, 92.664)
      (417, 293, 76.709)
      (417, 317, 28.450)
      (417, 324, 38.254)
      (417, 346, 11.240)
      (417, 370, 69.983)
      (417, 384, 95.045)
      (417, 411, 59.543)
      (418, 115, 22.776)
      (418, 155, 20.015)
      (418, 178,  1.243)
      (418, 202, 82.171)
      (418, 245, 15.515)
      (418, 275, 80.563)
      (418, 287, 13.068)
      (419, 75,  7.424)
      (419, 156, 55.281)
      (419, 201, 14.078)
      (419, 304, 41.864)
      (419, 316, 74.854)
      (419, 362, 15.363)
      (419, 452, 37.260)
      (420, 113, 70.273)
      (420, 148, 37.377)
      (420, 197, 97.258)
      (420, 237, 15.726)
      (420, 347, 71.481)
      (420, 417, 14.347)
      (421, 120, 21.776)
      (421, 149, 88.643)
      (421, 173, 89.616)
      (421, 181, 11.328)
      (421, 212, 81.640)
      (421, 246, 83.338)
      (421, 262, 93.550)
      (421, 337, 37.782)
      (421, 369, 73.042)
      (421, 372, 45.441)
      (421, 377, 95.229)
      (421, 408, 66.685)
      (422, 26, 69.491)
      (422, 168,  2.702)
      (422, 189, 35.596)
      (422, 228, 78.748)
      (422, 277, 35.190)
      (422, 280, 85.671)
      (422, 282, 74.588)
      (422, 285, 85.372)
      (422, 321, 31.163)
      (422, 404, 19.019)
      (422, 405, 33.390)
      (423, 35, 29.222)
      (423, 86, 23.300)
      (423, 87, 58.584)
      (423, 96, 93.815)
      (423, 112,  2.300)
      (423, 127, 40.695)
      (423, 214,  7.424)
      (423, 275, 46.194)
      (423, 300, 26.964)
      (423, 335, 33.156)
      (423, 438, 18.442)
      (424, 64, 22.866)
      (424, 66, 62.393)
      (424, 219, 11.177)
      (424, 254, 77.453)
      (424, 274, 72.262)
      (424, 283, 26.346)
      (424, 285, 52.230)
      (424, 333, 52.983)
      (424, 377, 13.943)
      (424, 389, 22.070)
      (424, 413, 52.692)
      (425, 136, 34.079)
      (425, 233, 83.332)
      (425, 234, 83.318)
      (425, 247, 99.088)
      (425, 258, 48.120)
      (425, 334, 40.409)
      (425, 337, 76.338)
      (425, 404, 56.119)
      (425, 415, 91.769)
      (426, 126,  7.588)
      (426, 352, 97.581)
      (426, 433, 84.840)
      (427, 14, 47.220)
      (427, 75, 31.418)
      (427, 108, 17.722)
      (427, 184, 32.542)
      (427, 198, 83.635)
      (427, 298, 92.820)
      (427, 316, 99.767)
      (427, 389, 18.847)
      (427, 429, 27.319)
      (428, 124, 41.730)
      (428, 138, 43.482)
      (428, 203, 95.103)
      (428, 249, 23.779)
      (428, 288, 47.401)
      (428, 304, 18.922)
      (428, 315, 70.585)
      (428, 348, 67.389)
      (428, 358, 23.855)
      (428, 403, 55.807)
      (428, 408, 20.745)
      (428, 422, 62.512)
      (428, 433, 25.498)
      (429, 40, 14.208)
      (429, 57, 97.492)
      (429, 79, 41.038)
      (429, 91, 95.145)
      (429, 99, 91.161)
      (429, 106, 67.804)
      (429, 125,  2.299)
      (429, 161, 77.619)
      (429, 173, 90.318)
      (429, 182, 11.775)
      (429, 218, 35.428)
      (429, 221, 33.467)
      (429, 226, 75.223)
      (429, 265, 46.308)
      (429, 273, 49.223)
      (429, 294, 45.418)
      (429, 363, 44.331)
      (429, 428, 50.894)
      (430,  0, 76.519)
      (430, 101, 42.026)
      (430, 253,  5.802)
      (430, 277, 79.804)
      (430, 282,  8.389)
      (430, 291, 68.882)
      (430, 294, 38.250)
      (430, 366, 51.201)
      (430, 394, 90.198)
      (431, 14, 10.140)
      (431, 49, 93.434)
      (431, 73, 42.342)
      (431, 100, 42.383)
      (431, 150, 53.462)
      (431, 151, 27.177)
      (431, 195,  9.349)
      (431, 205, 65.425)
      (431, 342, 48.212)
      (432, 13, 77.059)
      (432, 33,  4.709)
      (432, 64, 28.844)
      (432, 92,  0.767)
      (432, 118, 38.701)
      (432, 152, 59.298)
      (432, 176, 83.732)
      (432, 193, 47.748)
      (432, 238, 94.869)
      (432, 381,  9.500)
      (432, 425, 11.214)
      (433, 90, 45.291)
      (433, 102,  9.981)
      (433, 145, 10.999)
      (433, 146, 98.633)
      (433, 175, 34.284)
      (433, 181, 62.348)
      (433, 185, 44.733)
      (433, 229, 96.498)
      (433, 344, 29.038)
      (433, 436, 84.636)
      (434, 30, 54.090)
      (434, 46, 50.891)
      (434, 55, 37.424)
      (434, 177, 10.144)
      (434, 182, 88.981)
      (434, 310, 37.230)
      (434, 342, 48.746)
      (434, 378, 36.981)
      (434, 417, 88.136)
      (434, 436,  4.449)
      (435, 18, 32.285)
      (435, 46, 99.818)
      (435, 89, 96.859)
      (435, 145, 73.367)
      (435, 155, 96.209)
      (435, 239, 78.483)
      (435, 251, 71.015)
      (435, 336, 79.280)
      (435, 340, 63.222)
      (435, 356, 89.693)
      (435, 359,  0.769)
      (435, 372, 90.312)
      (435, 431,  6.999)
      (436, 65, 75.874)
      (436, 209, 86.681)
      (436, 223, 14.927)
      (436, 228, 90.585)
      (436, 250, 79.243)
      (436, 301, 15.222)
      (436, 372, 84.018)
      (436, 397, 93.287)
      (436, 404, 84.023)
      (436, 416, 29.524)
      (436, 417, 38.303)
      (437, 60,  4.628)
      (437, 66, 68.892)
      (437, 75, 37.030)
      (437, 184, 47.364)
      (437, 189, 17.748)
      (437, 205, 51.451)
      (437, 241, 75.308)
      (437, 311, 52.370)
      (437, 327, 46.680)
      (437, 328, 59.095)
      (437, 346, 17.242)
      (437, 369, 36.339)
      (437, 382, 42.893)
      (437, 454,  1.643)
      (438, 26, 27.281)
      (438, 52, 60.223)
      (438, 121, 66.118)
      (438, 220, 85.401)
      (438, 223, 88.301)
      (438, 239, 85.670)
      (438, 274, 63.809)
      (438, 343, 45.680)
      (438, 351, 16.135)
      (439, 35, 22.896)
      (439, 38, 75.735)
      (439, 60,  3.587)
      (439, 90,  8.522)
      (439, 112, 40.126)
      (439, 148, 43.443)
      (439, 172, 64.688)
      (439, 258, 15.991)
      (440,  6, 26.277)
      (440, 16, 95.459)
      (440, 87, 92.299)
      (440, 119, 85.812)
      (440, 186, 56.781)
      (440, 192, 21.207)
      (440, 193, 16.999)
      (440, 205, 68.531)
      (440, 344, 91.084)
      (440, 355, 23.817)
      (441,  2, 43.890)
      (441, 13, 53.171)
      (441, 27,  6.443)
      (441, 28, 47.720)
      (441, 34,  6.497)
      (441, 95, 12.178)
      (441, 116,  9.019)
      (441, 145, 18.953)
      (441, 160, 76.569)
      (441, 209, 56.713)
      (441, 212, 32.381)
      (441, 228, 61.130)
      (441, 249, 35.225)
      (441, 284, 98.045)
      (441, 305, 45.791)
      (442,  3, 79.609)
      (442, 39, 38.776)
      (442, 70, 81.088)
      (442, 155, 15.118)
      (442, 161, 26.657)
      (442, 185, 97.612)
      (442, 224, 54.023)
      (442, 292, 66.756)
      (442, 338, 30.395)
      (442, 369, 95.604)
      (442, 418, 58.706)
      (442, 450, 32.135)
      (442, 452, 13.679)
      (443, 102, 91.745)
      (443, 125, 52.697)
      (443, 139, 22.722)
      (443, 239, 12.384)
      (443, 275, 37.203)
      (443, 323, 41.782)
      (443, 328, 62.428)
      (443, 353,  6.856)
      (443, 375, 53.205)
      (443, 402, 38.512)
      (444, 29, 60.595)
      (444, 139, 71.876)
      (444, 225, 49.823)
      (444, 243, 94.634)
      (445,  7, 38.924)
      (445, 27, 27.701)
      (445, 55, 87.923)
      (445, 127, 93.593)
      (445, 140, 38.130)
      (445, 160, 50.163)
      (445, 307, 46.716)
      (445, 312, 59.244)
      (445, 316, 36.295)
      (445, 350, 39.592)
      (445, 372, 60.806)
      (445, 387, 39.481)
      (445, 442, 93.485)
      (446, 55, 15.491)
      (446, 67, 34.988)
      (446, 78, 77.474)
      (446, 88, 82.025)
      (446, 97, 43.482)
      (446, 112, 29.296)
      (446, 204, 94.096)
      (446, 237, 40.927)
      (446, 244, 15.566)
      (446, 289, 77.062)
      (446, 321, 41.497)
      (446, 341, 70.555)
      (446, 373,  6.578)
      (446, 438, 13.650)
      (446, 445, 38.517)
      (446, 451,  6.619)
      (447,  6, 62.422)
      (447, 10, 30.712)
      (447, 17, 64.813)
      (447, 87, 93.869)
      (447, 95,  9.742)
      (447, 115, 93.356)
      (447, 132, 90.158)
      (447, 275, 79.662)
      (447, 276,  7.291)
      (447, 373, 39.521)
      (447, 377,  3.029)
      (447, 379, 70.152)
      (447, 401, 72.172)
      (448,  1, 33.439)
      (448, 22, 40.845)
      (448, 53, 27.777)
      (448, 107, 21.332)
      (448, 137, 77.499)
      (448, 157, 99.993)
      (448, 177, 48.596)
      (448, 196, 39.882)
      (448, 248, 65.021)
      (448, 258,  8.724)
      (448, 358, 54.988)
      (448, 362, 50.394)
      (448, 374, 73.024)
      (448, 394, 19.151)
      (448, 407, 85.961)
      (448, 451, 51.305)
      (449, 15, 68.362)
      (449, 83, 99.385)
      (449, 152, 16.142)
      (449, 158, 68.478)
      (449, 190, 88.077)
      (449, 232, 81.217)
      (449, 260, 63.172)
      (449, 319, 16.322)
      (449, 362, 46.084)
      (449, 363, 76.231)
      (450, 30, 38.132)
      (450, 64, 20.390)
      (450, 71, 64.237)
      (450, 214,  2.572)
      (450, 235,  8.260)
      (450, 256, 40.811)
      (450, 285, 29.557)
      (450, 302, 41.141)
      (450, 313, 95.496)
      (450, 376, 60.408)
      (450, 443, 76.881)
      (451, 91, 76.146)
      (451, 104, 91.911)
      (451, 111, 60.851)
      (451, 210, 47.641)
      (451, 215, 24.024)
      (451, 303,  9.637)
      (451, 332,  8.357)
      (452, 26, 30.702)
      (452, 68, 78.332)
      (452, 87, 37.408)
      (452, 234, 78.709)
      (452, 238, 59.889)
      (452, 256, 40.632)
      (452, 295, 12.927)
      (452, 315, 69.305)
      (452, 399, 16.286)
      (452, 434, 99.860)
      (453, 135, 35.656)
      (453, 171, 49.014)
      (453, 226, 67.673)
      (453, 250, 19.330)
      (453, 257, 98.771)
      (453, 258, 51.164)
      (453, 280,  6.118)
      (453, 319, 49.155)
      (453, 340, 10.550)
      (453, 381, 51.843)
      (454, 115, 25.593)
      (454, 152, 25.111)
      (454, 158, 93.617)
      (454, 182, 98.928)
      (454, 320, 70.631)
      (454, 360, 84.857)
      (454, 417, 51.413) }
------------------------- 

** G20: |V|=455, V={0,1,...454}
(u, v, weight) E = { 
      ( 0, 32, 45.632)
      ( 0, 37, 59.606)
      ( 0, 63, 31.421)
      ( 0, 86, 33.395)
      ( 0, 146,  0.019)
      ( 0, 149, 28.077)
      ( 0, 182, 40.852)
      ( 0, 189,  2.572)
      ( 0, 207, 75.237)
      ( 0, 249,  8.304)
      ( 0, 263, 16.485)
      ( 0, 390, 64.976)
      ( 0, 406, 95.445)
      ( 1, 57,  8.395)
      ( 1, 75, 59.454)
      ( 1, 90, 63.325)
      ( 1, 93, 91.241)
      ( 1, 244, 78.546)
      ( 1, 280, 62.947)
      ( 1, 303,  1.815)
      ( 1, 313, 62.058)
      ( 1, 355,  7.195)
      ( 1, 416, 52.528)
      ( 1, 434,  2.057)
      ( 2, 10, 22.975)
      ( 2, 47, 69.556)
      ( 2, 150, 37.692)
      ( 2, 220, 34.904)
      ( 2, 314, 82.491)
      ( 2, 331, 16.363)
      ( 2, 341, 64.340)
      ( 2, 354,  0.356)
      ( 2, 366, 15.821)
      ( 2, 387, 64.756)
      ( 3, 115,  9.947)
      ( 3, 129, 38.724)
      ( 3, 133, 53.384)
      ( 3, 153, 37.485)
      ( 3, 182, 62.945)
      ( 3, 183, 43.236)
      ( 3, 185, 12.998)
      ( 3, 189, 70.646)
      ( 3, 215, 32.744)
      ( 3, 240, 57.036)
      ( 3, 268, 22.445)
      ( 3, 334, 75.198)
      ( 3, 446, 87.202)
      ( 4, 42,  5.004)
      ( 4, 61, 88.394)
      ( 4, 203, 21.339)
      ( 4, 209, 79.391)
      ( 4, 218, 76.219)
      ( 4, 332, 85.423)
      ( 4, 411, 17.512)
      ( 5, 105, 94.147)
      ( 5, 110, 86.643)
      ( 5, 172, 40.690)
      ( 5, 174, 63.456)
      ( 5, 314, 67.193)
      ( 5, 328, 84.068)
      ( 5, 386, 93.154)
      ( 5, 414, 11.690)
      ( 6,  1, 37.316)
      ( 6, 67, 63.021)
      ( 6, 238, 11.757)
      ( 6, 326,  5.756)
      ( 6, 369, 45.025)
      ( 6, 384, 71.371)
      ( 6, 387, 88.542)
      ( 6, 388, 13.728)
      ( 7, 85, 36.187)
      ( 7, 109, 94.582)
      ( 7, 189, 81.244)
      ( 7, 194, 44.010)
      ( 7, 197, 39.652)
      ( 7, 258, 92.027)
      ( 7, 264, 48.777)
      ( 7, 321, 45.405)
      ( 7, 353, 84.356)
      ( 7, 444, 97.193)
      ( 7, 448, 90.767)
      ( 8, 102, 53.771)
      ( 8, 122, 85.466)
      ( 8, 150, 77.988)
      ( 8, 204, 69.835)
      ( 8, 227, 39.839)
      ( 8, 245, 62.811)
      ( 8, 283, 72.139)
      ( 8, 306, 94.853)
      ( 8, 336, 40.395)
      ( 8, 374, 27.027)
      ( 8, 449, 67.010)
      ( 9, 35, 16.073)
      ( 9, 109, 10.336)
      ( 9, 134, 83.916)
      ( 9, 136, 63.246)
      ( 9, 172, 15.518)
      ( 9, 236, 97.502)
      ( 9, 271, 57.944)
      ( 9, 284, 91.647)
      ( 9, 345, 11.650)
      ( 9, 357, 80.305)
      ( 9, 364,  9.104)
      ( 9, 412, 70.587)
      ( 9, 423, 88.958)
      ( 9, 424,  4.550)
      ( 9, 453, 45.003)
      (10, 57, 15.913)
      (10, 66, 69.627)
      (10, 89, 86.475)
      (10, 111, 88.247)
      (10, 121, 49.266)
      (10, 224, 96.571)
      (10, 234, 41.465)
      (10, 247, 53.279)
      (10, 273, 19.490)
      (10, 305, 79.186)
      (10, 330,  4.788)
      (10, 344,  1.973)
      (10, 370, 73.992)
      (10, 402, 43.175)
      (10, 432, 30.880)
      (11,  3, 28.535)
      (11, 12, 46.033)
      (11, 18, 38.915)
      (11, 28, 26.901)
      (11, 42, 69.183)
      (11, 97, 69.238)
      (11, 261, 89.049)
      (11, 278, 68.568)
      (11, 335, 30.927)
      (11, 438, 80.992)
      (12, 52, 32.532)
      (12, 59, 66.519)
      (12, 74, 18.515)
      (12, 75, 33.818)
      (12, 98, 87.358)
      (12, 182, 90.110)
      (12, 284, 83.590)
      (12, 340, 43.611)
      (12, 367, 14.660)
      (12, 382, 10.517)
      (13, 20, 76.861)
      (13, 59, 11.113)
      (13, 74, 89.540)
      (13, 115, 25.743)
      (13, 166, 98.796)
      (13, 199, 56.395)
      (13, 200, 83.135)
      (13, 211, 77.997)
      (13, 315, 39.870)
      (13, 407, 91.903)
      (13, 408, 21.757)
      (13, 435, 51.107)
      (13, 439, 34.271)
      (13, 440,  2.675)
      (14, 45, 56.185)
      (14, 74, 23.495)
      (14, 117, 90.698)
      (14, 129, 60.125)
      (14, 150, 44.958)
      (14, 171, 93.529)
      (14, 290, 50.038)
      (14, 295, 49.310)
      (14, 306, 98.318)
      (14, 393, 52.449)
      (15,  7, 63.246)
      (15, 77, 60.505)
      (15, 120, 46.700)
      (15, 187,  2.178)
      (15, 230, 89.739)
      (15, 335, 53.771)
      (15, 343, 14.910)
      (16, 30, 40.750)
      (16, 39, 46.897)
      (16, 103, 95.535)
      (16, 140, 19.306)
      (16, 204, 27.723)
      (16, 220, 18.732)
      (16, 224, 99.579)
      (16, 235, 15.657)
      (16, 256, 59.577)
      (16, 328, 81.073)
      (16, 331, 47.646)
      (16, 374, 62.152)
      (16, 393, 54.431)
      (16, 442, 65.643)
      (16, 444, 10.285)
      (16, 445, 50.080)
      (17, 14, 63.746)
      (17, 76, 25.704)
      (17, 98, 80.454)
      (17, 212, 52.149)
      (17, 239, 67.056)
      (17, 270, 26.763)
      (17, 285, 62.562)
      (17, 306, 20.519)
      (17, 406, 45.741)
      (17, 437, 59.074)
      (18, 47,  4.320)
      (18, 61,  6.366)
      (18, 111, 31.139)
      (18, 142, 82.124)
      (18, 253, 24.983)
      (18, 283, 11.537)
      (18, 293, 49.923)
      (18, 370, 43.218)
      (18, 430, 27.838)
      (18, 450, 92.007)
      (19, 37, 17.674)
      (19, 107, 41.899)
      (19, 151, 21.285)
      (19, 164, 11.612)
      (19, 209, 40.088)
      (19, 238, 40.162)
      (19, 271, 95.364)
      (19, 314, 14.422)
      (19, 364, 61.530)
      (20, 48, 82.292)
      (20, 81, 76.205)
      (20, 87, 23.218)
      (20, 127, 84.436)
      (20, 167, 93.672)
      (20, 176,  3.630)
      (20, 232, 24.027)
      (20, 309, 72.655)
      (20, 388, 18.108)
      (20, 398, 19.191)
      (20, 428, 93.699)
      (21, 41, 92.992)
      (21, 48, 81.993)
      (21, 96, 66.997)
      (21, 215, 70.264)
      (21, 277, 56.923)
      (21, 288, 75.385)
      (21, 311, 90.732)
      (21, 320, 94.935)
      (21, 344, 65.048)
      (21, 351, 67.893)
      (21, 380, 25.333)
      (21, 397, 41.797)
      (21, 430, 36.762)
      (21, 449, 29.246)
      (22, 55,  3.391)
      (22, 103, 43.760)
      (22, 121, 26.520)
      (22, 186,  3.948)
      (22, 400, 41.426)
      (23,  5, 61.120)
      (23,  8, 37.428)
      (23, 38, 79.726)
      (23, 59, 31.261)
      (23, 110, 57.371)
      (23, 127, 76.308)
      (23, 205, 52.536)
      (23, 230, 84.535)
      (23, 250, 30.426)
      (23, 294, 65.590)
      (23, 336,  8.234)
      (23, 344, 44.905)
      (23, 382, 59.960)
      (23, 384, 28.973)
      (23, 412, 68.548)
      (23, 423, 63.800)
      (23, 429, 13.389)
      (24, 23, 25.248)
      (24, 58, 95.017)
      (24, 106, 25.041)
      (24, 228, 71.514)
      (24, 256, 51.501)
      (24, 303, 80.370)
      (24, 319, 14.356)
      (24, 353, 44.668)
      (24, 416, 44.668)
      (24, 425, 41.087)
      (24, 427, 50.375)
      (24, 444,  4.769)
      (25, 10,  9.332)
      (25, 22,  5.037)
      (25, 64, 25.180)
      (25, 212, 12.817)
      (25, 278, 36.618)
      (25, 339, 30.010)
      (25, 343, 31.616)
      (25, 368, 28.227)
      (25, 418, 48.001)
      (26, 22, 50.111)
      (26, 36, 69.538)
      (26, 142, 69.911)
      (26, 154, 30.484)
      (26, 157, 17.135)
      (26, 169, 54.133)
      (26, 199, 67.634)
      (26, 236, 90.544)
      (26, 291, 90.048)
      (26, 349, 22.519)
      (26, 385, 85.416)
      (26, 395, 34.215)
      (26, 414, 75.639)
      (26, 436, 41.462)
      (27, 29, 93.484)
      (27, 73, 32.234)
      (27, 79, 79.108)
      (27, 143, 75.748)
      (27, 230, 48.577)
      (27, 248, 12.793)
      (27, 253, 68.239)
      (27, 297, 32.414)
      (27, 301, 33.639)
      (27, 304, 59.319)
      (27, 309, 97.472)
      (27, 331, 14.422)
      (27, 418, 67.079)
      (28, 40, 17.816)
      (28, 123, 78.223)
      (28, 197, 73.437)
      (28, 224, 23.479)
      (28, 269, 63.329)
      (28, 274, 27.112)
      (28, 315, 22.572)
      (28, 345, 64.781)
      (28, 450, 71.477)
      (29, 137, 25.320)
      (29, 209, 93.159)
      (29, 329, 56.164)
      (29, 366, 29.108)
      (29, 415, 85.992)
      (29, 417, 30.705)
      (30,  9, 75.578)
      (30, 14, 62.040)
      (30, 22, 70.241)
      (30, 37, 47.489)
      (30, 125, 70.270)
      (30, 131, 13.572)
      (30, 184,  6.973)
      (30, 198, 42.084)
      (30, 210, 42.733)
      (30, 260, 61.179)
      (30, 265, 30.762)
      (30, 337, 33.700)
      (31, 122, 64.110)
      (31, 159, 48.750)
      (31, 218, 44.875)
      (31, 219,  6.468)
      (31, 265, 29.947)
      (31, 272, 13.579)
      (31, 280,  3.790)
      (31, 284, 26.067)
      (31, 414, 46.021)
      (31, 416, 24.412)
      (31, 425, 78.113)
      (32, 40, 94.332)
      (32, 78, 87.092)
      (32, 325, 17.780)
      (32, 330, 52.913)
      (32, 451, 88.051)
      (33,  2, 55.143)
      (33, 38, 94.211)
      (33, 69, 90.469)
      (33, 122, 43.194)
      (33, 123, 90.312)
      (33, 150, 65.314)
      (33, 172, 32.889)
      (33, 182, 39.487)
      (33, 245, 99.667)
      (33, 264, 77.874)
      (33, 428, 52.585)
      (33, 446, 24.092)
      (34, 43, 64.650)
      (34, 131, 50.974)
      (34, 198, 29.786)
      (34, 222, 67.851)
      (34, 232, 66.652)
      (34, 258,  1.659)
      (34, 305, 69.194)
      (34, 319, 88.431)
      (34, 393, 67.354)
      (34, 413,  8.671)
      (34, 433,  5.489)
      (35, 10,  7.120)
      (35, 27, 64.517)
      (35, 44, 38.828)
      (35, 97, 99.618)
      (35, 108,  9.808)
      (35, 155, 55.276)
      (35, 200, 14.145)
      (35, 212, 20.760)
      (35, 215, 12.724)
      (35, 287,  3.083)
      (35, 440, 62.898)
      (36, 161, 83.121)
      (36, 167,  7.177)
      (36, 284, 52.622)
      (36, 309,  1.699)
      (36, 409, 28.501)
      (37, 23, 71.873)
      (37, 32,  5.285)
      (37, 48, 91.764)
      (37, 80, 65.505)
      (37, 87, 53.622)
      (37, 93, 70.047)
      (37, 109, 38.682)
      (37, 151, 46.658)
      (37, 152, 61.044)
      (37, 233, 90.407)
      (37, 254, 24.769)
      (37, 273, 49.659)
      (37, 299, 18.075)
      (37, 332, 86.018)
      (37, 338, 27.324)
      (37, 340, 27.918)
      (37, 419, 96.774)
      (38, 123, 27.357)
      (38, 127, 46.299)
      (38, 166, 27.793)
      (38, 189, 18.494)
      (38, 238, 17.686)
      (38, 312, 60.823)
      (38, 393,  4.059)
      (38, 414, 13.996)
      (39, 139,  2.656)
      (39, 142, 67.077)
      (39, 164,  8.965)
      (39, 212, 34.064)
      (39, 263,  9.026)
      (39, 301, 44.681)
      (39, 338,  5.293)
      (39, 360, 21.386)
      (39, 426, 84.319)
      (40, 14, 82.390)
      (40, 25,  9.065)
      (40, 83, 82.549)
      (40, 172, 58.478)
      (40, 181, 49.403)
      (40, 235, 87.789)
      (40, 237, 40.731)
      (40, 255, 78.242)
      (40, 271, 51.595)
      (40, 312,  1.314)
      (40, 388, 35.919)
      (41, 31, 70.120)
      (41, 178, 18.419)
      (41, 222, 42.731)
      (41, 334, 64.525)
      (41, 338, 37.178)
      (41, 369,  9.211)
      (41, 430, 77.548)
      (41, 438,  3.105)
      (42,  5, 36.690)
      (42,  8, 60.658)
      (42, 95, 23.287)
      (42, 115, 59.331)
      (42, 120, 56.489)
      (42, 132, 86.863)
      (42, 161, 69.493)
      (42, 261, 55.880)
      (42, 282, 82.927)
      (42, 294, 84.967)
      (42, 306,  2.973)
      (42, 366, 65.883)
      (42, 410, 58.092)
      (42, 437, 26.339)
      (43, 56, 41.115)
      (43, 89, 38.100)
      (43, 109,  1.436)
      (43, 116, 75.129)
      (43, 150, 38.460)
      (43, 237, 94.104)
      (43, 238, 33.359)
      (43, 242, 17.247)
      (43, 277, 61.594)
      (43, 313,  3.476)
      (43, 385, 72.080)
      (43, 416, 60.368)
      (43, 437, 44.173)
      (44, 65, 37.335)
      (44, 280, 63.602)
      (44, 288, 62.675)
      (44, 295, 86.750)
      (44, 319,  9.271)
      (44, 336, 98.920)
      (44, 398, 91.875)
      (44, 421, 14.579)
      (44, 437,  3.755)
      (44, 454, 36.799)
      (45, 16, 19.315)
      (45, 30, 88.732)
      (45, 122, 29.011)
      (45, 138,  7.866)
      (45, 181, 68.586)
      (45, 331,  1.901)
      (45, 350, 92.905)
      (45, 393, 94.991)
      (46, 17, 26.505)
